EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143489;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718853.185;1087940.738;1;102182240;10138437;Via Dr. Willy Fröhlich;13;IT;6817;0;Maroggia;2718853.185;1087940.738;0;2021-07-19 00:00:00
11143489;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718853.185;1087940.738;2;102191707;10138437;Via Dr. Willy Fröhlich;15;IT;6817;0;Maroggia;2718853.185;1087940.738;0;2021-07-19 00:00:00
11143489;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718853.185;1087940.738;3;101891970;10138433;Via al Parco;21;IT;6817;0;Maroggia;2718853.185;1087940.738;0;2021-07-19 00:00:00
11143491;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719060.455;1087875.171;0;101246367;10139140;Viale Stazione;34;IT;6817;0;Maroggia;2719060.455;1087875.171;0;2021-07-19 00:00:00
11143492;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718990.68;1088246.97;0;101246368;10128279;Via ai Molini;14;IT;6817;0;Maroggia;2718990.68;1088246.97;0;2021-07-19 00:00:00
11143493;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718767.53;1088099.31;0;101246369;10138432;Via al Lido;5;IT;6817;0;Maroggia;2718767.53;1088099.31;0;2021-07-19 00:00:00
11143494;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719095.194;1088605.725;0;101246370;10128277;Piazzo frazione;5;IT;6817;0;Maroggia;2719095.194;1088605.725;0;2021-07-19 00:00:00
11143496;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719033.57;1087876.53;0;101246371;10139140;Viale Stazione;32;IT;6817;0;Maroggia;2719033.57;1087876.53;0;2021-07-19 00:00:00
11143497;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718842.13;1088178.92;0;101246372;10138436;Viale Baldassarre Longhena;11;IT;6817;0;Maroggia;2718842.13;1088178.92;0;2021-07-19 00:00:00
11143498;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718769.978;1088045.417;0;101246373;10128278;Quartiere Prà Comun;6;IT;6817;0;Maroggia;2718769.978;1088045.417;0;2021-07-19 00:00:00
11143499;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718772.185;1088164.744;0;101246374;10138432;Via al Lido;3;IT;6817;0;Maroggia;2718772.185;1088164.744;0;2021-07-19 00:00:00
11143500;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719123.35;1088079.15;1;101891975;10139142;Vicolo del Tiglio;4;IT;6817;0;Maroggia;2719123.35;1088079.15;0;2021-07-19 00:00:00
11143500;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719123.35;1088079.15;2;101892039;10139137;Via Ressiga;28;IT;6817;0;Maroggia;2719123.35;1088079.15;0;2021-07-19 00:00:00
11143501;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718550.185;1088627.753;0;101246376;10138436;Viale Baldassarre Longhena;10;IT;6817;0;Maroggia;2718550.185;1088627.753;0;2021-07-19 00:00:00
11143502;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718838.112;1088023.21;0;101246377;10138437;Via Dr. Willy Fröhlich;2;IT;6817;0;Maroggia;2718838.112;1088023.21;0;2021-07-19 00:00:00
11143503;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718862.63;1088064.19;0;101246378;10139140;Viale Stazione;4;IT;6817;0;Maroggia;2718862.63;1088064.19;0;2021-07-19 00:00:00
11143504;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718801.186;1088202.745;0;101246379;10138436;Viale Baldassarre Longhena;44;IT;6817;0;Maroggia;2718801.186;1088202.745;0;2021-07-19 00:00:00
